#separator:tab
#html:true
#columns:Sentence	Label	Sense	Pattern	Trajector	Landmark	FrameOfRef	ImageSchema	MainUse	QuickCue	Contrast	WhenNotToUse	Tags
The diagram is <b>on</b> page 7.	on (PAGE-LINE)	spatial	be + on + page reference	the diagram	page 7	intrinsic	support	Locating an item printed on a numbered page	page numeral cue	in page 7 (incorrect — pages are surfaces, not containers)	for items in a section or chapter (use 'in')	module:01 sense:spatial type:recognition frequency:high register:neutral cefr:a2 image-schema:support generalisable:yes picture-cue:yes picture-query:"open book diagram page"
We're <b>on</b> the bus.	on (LARGE-TRANSPORT)	spatial	be + on + large vehicle	we	the bus	intrinsic	support	Locating people inside a vehicle you can stand up in	walk-in vehicles: bus, train, plane, ship	in the bus (sounds like trapped inside the engine)	for small private vehicles (cars, taxis — use 'in')	module:01 sense:spatial type:recognition frequency:high register:neutral cefr:a1 image-schema:support generalisable:yes picture-cue:yes picture-query:"passengers inside city bus"
A cat is sleeping <b>on</b> the sofa.	on (SUPPORT)	spatial	be + V-ing + on + furniture	a cat	the sofa	intrinsic	support	Locating an animal in surface contact with furniture	resting via gravity	in the sofa (would mean inside the cushions or fabric)	when the figure is enclosed inside the cushions	module:01 sense:spatial type:recognition frequency:high register:neutral cefr:a1 image-schema:support generalisable:yes picture-cue:yes picture-query:"cat sleeping on sofa"
There's some dust <b>on</b> the screen.	on (SUPPORT-FILM)	spatial	there be + N + on + surface	some dust	the screen	intrinsic	support	Locating particles deposited on a surface	thin film clinging via static or adhesion	in the screen (would mean inside the device)	for items behind or under the surface	module:01 sense:spatial type:recognition frequency:mid register:neutral cefr:a2 image-schema:support generalisable:yes
She's waiting <b>at</b> the door.	at (POINT)	spatial	be + V-ing + at + point landmark	she	the door	intrinsic	point	Locating a figure at a specific point or threshold	point-like, no internal volume in focus	in the door (would mean inside the doorway)	for being inside the room beyond the door	module:01 sense:spatial type:recognition frequency:high register:neutral cefr:a1 image-schema:point generalisable:yes picture-cue:yes picture-query:"woman waiting at front door"
Turn left <b>at</b> the corner.	at (POINT-INTERSECTION)	spatial	V + at + intersection	(implicit you)	the corner	relative	point	Identifying a navigation point at an intersection	turn / stop / arrive cues	on the corner (would mean ON top of the corner) / in the corner (interior angle)	when the landmark is a region, not a point	module:01 sense:spatial type:recognition frequency:high register:neutral cefr:a1 image-schema:point generalisable:yes picture-cue:yes picture-query:"street corner intersection signpost"
I'll meet you <b>at</b> the bus stop.	at (POINT-VENUE)	spatial	will V + at + meeting point	I / you	the bus stop	intrinsic	point	Designating a meeting point seen as a single location	point-like meeting venues	on the bus stop (would mean on top of the structure)	when the venue is being treated as an area to live or work in	module:01 sense:spatial type:recognition frequency:high register:neutral cefr:a1 image-schema:point generalisable:yes
She's <b>at</b> the meeting.	at (EVENT-ACTIVITY)	spatial	be + at + event noun	she	the meeting	intrinsic	point	Locating a person engaged in an organised activity	scheduled events, classes, ceremonies	in the meeting (also possible but emphasises being inside the room)	for being merely physically present without participating	module:01 sense:spatial type:recognition frequency:high register:neutral cefr:a2 image-schema:point generalisable:yes
He's <b>at</b> work today.	at (POINT-ROLE)	spatial	be + at + institutional role	he	work	intrinsic	point	Locating a person engaged in their workplace role	work / school / university / home	in work (only with 'in work' = employed, abstract sense)	for emphasising the building / interior — use 'in'	module:01 sense:spatial type:recognition frequency:high register:neutral cefr:a1 image-schema:point generalisable:yes
The kids are <b>at</b> school.	at (POINT-ROLE)	spatial	be + at + institutional role	the kids	school	intrinsic	point	Locating people engaged in an institutional activity	school / college / university (no article)	in the school (would mean physically inside the building)	when emphasising the building or grounds	module:01 sense:spatial type:recognition frequency:high register:neutral cefr:a1 image-schema:point generalisable:yes
There's a sign <b>at</b> the entrance.	at (POINT-LOCATION)	spatial	there be + N + at + point	a sign	the entrance	intrinsic	point	Locating a fixed object at a specific entry point	doorway / gate / threshold	on the entrance (would mean ON top of the doorway)	when the object is inside the building beyond the entrance	module:01 sense:spatial type:recognition frequency:mid register:neutral cefr:a2 image-schema:point generalisable:yes
There are children playing <b>in</b> the corner.	in (CORNER-INTERIOR)	spatial	there be + N + V-ing + in + interior corner	children	the corner (interior)	intrinsic	container	Locating figures inside the angle formed by two walls	interior of an enclosed angle	on the corner (street intersection) / at the corner (junction point)	for street intersections — use 'on' or 'at'	module:01 sense:spatial type:recognition frequency:mid register:neutral cefr:a2 image-schema:container generalisable:yes picture-cue:yes picture-query:"children playing room corner interior"
The pharmacy is <b>on</b> the corner.	on (CORNER-STREET)	spatial	be + on + street corner	the pharmacy	the corner (of two streets)	relative	support	Locating a building at the intersection of two streets	street block sitting at a junction	in the corner (interior of a room) / at the corner (the point itself)	for interior corners of a room	module:01 sense:spatial type:recognition frequency:mid register:neutral cefr:b1 image-schema:support generalisable:partial picture-cue:yes picture-query:"corner pharmacy street intersection"
Let's meet <b>at</b> the corner.	at (CORNER-POINT)	spatial	V + at + intersection point	we	the corner	relative	point	Designating a street intersection as a meeting point	point-like meeting at a junction	on the corner (would mean a building there) / in the corner (interior angle)	when emphasising the building or interior angle	module:01 sense:spatial type:recognition frequency:mid register:neutral cefr:a2 image-schema:point generalisable:partial picture-cue:yes picture-query:"two people meeting street corner"
The driver is <b>in</b> the car.	in (SMALL-TRANSPORT)	spatial	be + in + small vehicle	the driver	the car	intrinsic	container	Locating a person inside a small private vehicle	cars, taxis, vans (you sit, you don't walk around)	on the car (would mean ON top of it)	for large vehicles you can stand in (use 'on')	module:01 sense:spatial type:recognition frequency:high register:neutral cefr:a1 image-schema:container generalisable:yes
The passengers are <b>on</b> the plane.	on (LARGE-TRANSPORT)	spatial	be + on + large vehicle	the passengers	the plane	intrinsic	support	Locating people inside a walk-in vehicle	plane / train / boat / bus	in the plane (sounds like inside the engine, not as passengers)	for small private vehicles	module:01 sense:spatial type:recognition frequency:high register:neutral cefr:a1 image-schema:support generalisable:yes
The hotel is <b>at</b> the airport.	at (POINT-LARGE-VENUE)	spatial	be + at + large transit venue	the hotel	the airport	intrinsic	point	Locating a building treated as adjacent-to-or-within a transit venue	airports / stations / ports as point-like venues	in the airport (inside the terminal building) / on the airport (would not be standard)	when emphasising being physically inside the terminal	module:01 sense:spatial type:recognition frequency:mid register:neutral cefr:b1 image-schema:point generalisable:partial
We're staying <b>in</b> a small hotel.	in (CONTAINER-VENUE)	spatial	be + V-ing + in + lodging	we	a small hotel	intrinsic	container	Locating people inside a lodging considered as a building	hotel / apartment / house	at a small hotel (also possible — emphasises the venue as a point)	when the focus is the venue rather than the interior	module:01 sense:spatial type:recognition frequency:high register:neutral cefr:a1 image-schema:container generalisable:yes
There's a stain <b>on</b> my shirt.	on (SUPPORT-CLOTHING)	spatial	there be + N + on + clothing	a stain	my shirt	intrinsic	support	Locating a mark on a piece of clothing	surface contact with fabric	in my shirt (would mean inside, embedded in the fabric)	for items embedded inside the fabric	module:01 sense:spatial type:recognition frequency:mid register:neutral cefr:a2 image-schema:support generalisable:yes
The clock <b>on</b> the kitchen wall has stopped.	on (SUPPORT-VERTICAL)	spatial	N + on + vertical surface + V	the clock	the kitchen wall	intrinsic	support	Locating an object mounted on a vertical surface in a room	mounted via fixings against gravity	in the kitchen wall (would mean inside the plaster)	when the object is embedded inside the surface	module:01 sense:spatial type:recognition frequency:mid register:neutral cefr:a2 image-schema:support generalisable:yes
We always have a big lunch <b>on</b> Sunday.	on (DAY)	temporal	on + day-of-week					Locating an event on a specific day	day-of-week / date / named-day cues	in Sunday (incorrect — months/years use 'in', specific days use 'on')	for parts of the day other than morning/afternoon/evening	module:03 sense:temporal type:recognition frequency:high register:neutral cefr:a1 image-schema:none generalisable:yes
The conference is <b>on</b> March 14th.	on (DATE)	temporal	on + specific date					Locating an event on a specific calendar date	specific date including the day	in March 14th (incorrect — full dates take 'on')	for whole months without a date (use 'in')	module:03 sense:temporal type:recognition frequency:high register:neutral cefr:a1 image-schema:none generalisable:yes
She was born <b>in</b> 1998.	in (YEAR)	temporal	in + year / decade / century					Locating a punctual event within a long bounded period	year / decade / century / millennium cues	on 1998 (incorrect — years take 'in')	for specific dates with a day number (use 'on')	module:03 sense:temporal type:recognition frequency:high register:neutral cefr:a1 image-schema:none generalisable:yes
The flowers usually bloom <b>in</b> April.	in (MONTH)	temporal	in + month name					Locating an event within a named month	month name without a day	on April (incorrect — months take 'in')	for specific dates within the month (use 'on')	module:03 sense:temporal type:recognition frequency:high register:neutral cefr:a1 image-schema:none generalisable:yes
We always go skiing <b>in</b> winter.	in (SEASON)	temporal	in + season					Locating a recurring event within a season	winter / spring / summer / autumn / fall	on winter (incorrect — seasons take 'in')	for specific holidays inside the season (use 'at' or 'on')	module:03 sense:temporal type:recognition frequency:high register:neutral cefr:a1 image-schema:none generalisable:yes
He usually reads <b>in</b> the evening.	in (PART-OF-DAY)	temporal	in + the + part-of-day					Locating an event in a part of the day	morning / afternoon / evening	at the evening (incorrect — these parts take 'in') / on the evening (only with a specific date: 'on the evening of the 5th')	for 'night' (use 'at') and clock times (use 'at')	module:03 sense:temporal type:recognition frequency:high register:neutral cefr:a1 image-schema:none generalisable:yes
The train leaves <b>at</b> 7:45.	at (CLOCK-TIME)	temporal	at + clock time					Locating an event at a precise clock time	hh:mm / o'clock cues	on 7:45 / in 7:45 (both incorrect — clock times take 'at')	for whole-day or longer time spans (use 'on' or 'in')	module:03 sense:temporal type:recognition frequency:high register:neutral cefr:a1 image-schema:none generalisable:yes
Owls hunt <b>at</b> night.	at (NIGHT)	temporal	at + night (no article)					Locating an event during the dark hours of the day	'at night' is fixed — no article	in the night (only acceptable with 'during the night'; bare 'at night' is canonical)	for parts of the day other than night (use 'in')	module:03 sense:temporal type:recognition frequency:high register:neutral cefr:a2 image-schema:none generalisable:yes
We always exchange gifts <b>at</b> Christmas.	at (NAMED-FESTIVAL)	temporal	at + named festival					Locating an event at a multi-day festival period	Christmas / Easter / Diwali / New Year	on Christmas (only correct as 'on Christmas Day' with 'Day') / in Christmas (incorrect)	for the specific day of the festival (use 'on Christmas Day')	module:03 sense:temporal type:recognition frequency:high register:neutral cefr:a2 image-schema:none generalisable:yes
She's working <b>at</b> the moment.	at (POINT-IN-TIME)	temporal	at + the moment / present					Locating an event at the current instant	'at the moment' / 'at present' / 'at this point'	in the moment (means absorbed in something, different sense) / on the moment (incorrect)	for longer current periods (use 'currently' / 'these days')	module:03 sense:temporal type:recognition frequency:high register:neutral cefr:a2 image-schema:none generalisable:yes
The report must be ready <b>by</b> Friday.	by (DEADLINE)	temporal	must V + by + deadline					Marking the latest acceptable completion point	deadline / no later than	until Friday (would mean continuous activity stopping on Friday — different meaning) / on Friday (just locates the day, not a deadline)	when the action continues UP TO the time (use 'until')	module:03 sense:temporal type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:yes
She'll have finished her thesis <b>by</b> the end of the year.	by (DEADLINE-PERIOD)	temporal	will have V-ed + by + deadline period					Marking a future-perfect completion deadline	by-deadline + future-perfect aspect	until the end of the year (would mean she keeps writing right up to year-end — opposite of completion)	when emphasising continuous activity to a stop point (use 'until')	module:03 sense:temporal type:recognition frequency:mid register:neutral cefr:b2 image-schema:none generalisable:yes
The shop stays open <b>until</b> midnight.	until (CONTINUOUS-UP-TO)	temporal	V + until + endpoint					Marking the endpoint of a continuous action	'until' / 'till' + stop point	by midnight (would mean the shop closes at some point before midnight — different meaning)	when the focus is on a deadline by which something must be done (use 'by')	module:03 sense:temporal type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:yes
We waited <b>for</b> two hours.	for (DURATION)	temporal	V + for + length of time					Specifying the length of an action	'for' + duration phrase (two hours, ten minutes, three years)	since two hours (incorrect — 'since' marks a starting point, not a length) / during two hours (incorrect — 'during' takes a named period)	when the focus is the starting point (use 'since')	module:03 sense:temporal type:recognition frequency:high register:neutral cefr:a2 image-schema:none generalisable:yes
He's lived in Lisbon <b>since</b> 2019.	since (STARTING-POINT)	temporal	have V-ed + since + starting point					Specifying the starting point of an unfinished period	'since' + a specific point in time	for 2019 (incorrect — 'for' takes a length, not a point)	when the focus is the duration, not the start (use 'for')	module:03 sense:temporal type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:yes
She spoke <b>during</b> the meeting.	during (WITHIN-PERIOD)	temporal	V + during + named period					Locating an event within a named period	'during' + named period noun (the meeting, the war, breakfast)	while the meeting (incorrect — 'while' is a conjunction and needs a clause)	when the next clause has its own subject and verb (use 'while')	module:03 sense:temporal type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:yes
The garden is beautiful <b>throughout</b> the year.	throughout (ALL-OF-PERIOD)	temporal	be + throughout + period					Specifying that something is true at every point within a period	'throughout' / 'all through' + period	during the year (also possible but doesn't emphasise every moment)	when only some moments are meant (use 'during')	module:03 sense:temporal type:recognition frequency:mid register:neutral cefr:b2 image-schema:none generalisable:partial
Please reply <b>within</b> 24 hours.	within (NO-LATER-THAN-AND-SPAN)	temporal	V + within + duration					Specifying a deadline AND a span	'within' + length of time	in 24 hours (means at the moment 24 hours from now — different) / by 24 hours (ungrammatical)	when the focus is a single moment in the future (use 'in')	module:03 sense:temporal type:recognition frequency:mid register:formal cefr:b2 image-schema:none generalisable:partial
The lecture starts <b>in</b> ten minutes.	in (FROM-NOW)	temporal	V + in + duration (= from now)					Specifying a future moment measured from now	'in' + length of time, future reference	within ten minutes (means any time up to that mark — different) / after ten minutes (also possible, but 'in' is more idiomatic for a specific scheduled event)	when the action happens AFTER the period elapses (use 'after')	module:03 sense:temporal type:recognition frequency:high register:neutral cefr:a2 image-schema:none generalisable:yes
The shop is open <b>from</b> 9 a.m. <b>to</b> 6 p.m.	from … to … (TIME-SPAN)	temporal	V + from + start + to + end					Specifying both endpoints of a time span	from + start + to / until + end	since 9 a.m. (only marks the start, not the span) / between 9 a.m. and 6 p.m. (also possible — slightly different framing)	for unspecified or open-ended endpoints	module:03 sense:temporal type:recognition frequency:high register:neutral cefr:a2 image-schema:none generalisable:yes
He left <b>before</b> the meeting started.	before (PRECEDING-EVENT)	temporal	V + before + event					Marking that event A precedes event B	'before' as preposition or conjunction	in front of the meeting (refers to physical position, not time)	for spatial position relative to a viewer (use 'in front of')	module:03 sense:temporal type:recognition frequency:high register:neutral cefr:a1 image-schema:none generalisable:yes
She arrived <b>after</b> the show.	after (FOLLOWING-EVENT)	temporal	V + after + event					Marking that event A follows event B	'after' as preposition or conjunction	behind the show (refers to physical position, not time)	for spatial position behind something (use 'behind')	module:03 sense:temporal type:recognition frequency:high register:neutral cefr:a1 image-schema:none generalisable:yes
We saw the film <b>three days ago</b>.	ago (BACKWARD-FROM-NOW)	temporal	past simple + N + ago					Specifying a past moment measured backward from now	number + time-unit + 'ago' (post-positional)	before three days (incorrect — 'ago' is post-positional and pairs with past simple, not 'before')	with present perfect (use 'for' / 'since' instead)	module:03 sense:temporal type:recognition frequency:high register:neutral cefr:a2 image-schema:none generalisable:yes
The library is closed <b>on</b> public holidays.	on (RECURRING-DAYS)	temporal	be V-ed + on + recurring days					Locating recurring events on named days	'on' + named days (Mondays, holidays, weekends)	in public holidays (incorrect — named days take 'on')	for parts of the day or whole months (use 'in')	module:03 sense:temporal type:recognition frequency:high register:neutral cefr:a2 image-schema:none generalisable:yes
Children play <b>at</b> recess.	at (ROUTINE-EVENT)	temporal	V + at + scheduled break					Locating an event at a named scheduled break	'at recess' / 'at lunch' / 'at break'	in recess (means inside the break period — possible but less idiomatic) / on recess (incorrect)	when emphasising the duration spent inside the break (use 'during')	module:03 sense:temporal type:recognition frequency:mid register:neutral cefr:a2 image-schema:none generalisable:partial
She always reads <b>before</b> bed.	before (PRECEDING-ROUTINE)	temporal	V + before + bare routine noun					Marking that an action precedes a routine event	'before' + bare noun (bed, breakfast, lunch, school)	in front of bed (refers to physical position) / on before bed (ungrammatical)	for items happening AFTER the routine (use 'after')	module:03 sense:temporal type:recognition frequency:high register:informal cefr:a2 image-schema:none generalisable:yes
We met for coffee <b>last week</b>.	(zero preposition) (PAST-RELATIVE)	temporal	V + last/next/this + period (no preposition)					Locating an event in a relative-to-now period without any preposition	bare 'last' / 'next' / 'this' + period	in last week (incorrect — relative time adverbials take no preposition) / on last week (incorrect)	when the period is named in absolute terms (use 'in 2024' etc.)	module:03 sense:temporal type:recognition frequency:high register:neutral cefr:a2 image-schema:none generalisable:partial
He works out <b>every morning</b>.	(zero preposition) (HABITUAL)	temporal	V + every + period (no preposition)					Locating a habitual event with no preposition	bare 'every' / 'each' + period	in every morning (incorrect — 'every' phrases take no preposition) / on every morning (incorrect)	when the focus is one specific occurrence (use 'on the morning of …')	module:03 sense:temporal type:recognition frequency:high register:neutral cefr:a2 image-schema:none generalisable:partial
The kids haven't seen their grandparents <b>for</b> ages.	for (DURATION-PRESENT-PERFECT)	temporal	have not V-ed + for + duration					Specifying the length of an unfinished period (negative present perfect)	have not + 'for' + duration	since ages (incorrect — 'since' takes a starting point, not a length)	when the focus is the starting point of the period (use 'since')	module:03 sense:temporal type:recognition frequency:high register:informal cefr:b1 image-schema:none generalisable:yes
The river floods <b>during</b> the rainy season.	during (WITHIN-PERIOD)	temporal	V + during + named period					Locating a recurring event within a named period	'during' + named period noun	in the rainy season (also possible — emphasises the season as a whole; 'during' emphasises the period through which the event extends)	when the next clause needs its own subject + verb (use 'while')	module:03 sense:temporal type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:yes
The cat is <b>under</b> the table.	under (BENEATH)	spatial	be + under + bounded object	the cat	the table	intrinsic	under	Located in the space below an object that has overhead coverage	object above you	above the table (not enclosed below)	when the landmark is below the trajector	module:02 sense:spatial type:recognition frequency:high register:neutral cefr:a1 image-schema:under generalisable:yes picture-cue:yes picture-query:"cat under wooden table"
She sat <b>below</b> the window on the bench.	below (LOWER)	spatial	be + below + elevated landmark	she	the window	absolute	under	Positioned at a lower elevation; vertical hierarchy	height difference is key	under the window (confined space)	when landmarks are horizontally aligned	module:02 sense:spatial type:recognition frequency:high register:neutral cefr:a1 image-schema:under generalisable:yes picture-cue:yes picture-query:"woman sitting below window bench"
The village is <b>beneath</b> the mountain ridge.	beneath (UNDER/FORMAL)	spatial	be + beneath + elevated landmark	the village	the mountain ridge	absolute	under	Positioned lower; often literary or formal emphasis	spiritual/physical lowering	under the mountain (less formal tone)	in everyday conversational English	module:02 sense:spatial type:recognition frequency:mid register:formal cefr:b1 image-schema:under generalisable:partial
The plane flew <b>over</b> the clouds.	over (ACROSS TOP)	spatial	motion + over + obstacle	the plane	the clouds	intrinsic	over	Traversing above; crossing the top of an obstacle	arc-shaped path above	above the clouds (stationary)	when the trajector remains on one side	module:02 sense:spatial type:recognition frequency:high register:neutral cefr:a1 image-schema:over generalisable:yes picture-cue:yes picture-query:"airplane above clouds aerial view"
The lamp hangs <b>above</b> the dining table.	above (HIGHER)	spatial	be + above + lower landmark	the lamp	the dining table	intrinsic	over	Positioned at a higher elevation without crossing	vertical alignment only	over the table (crossing motion implied)	when there is motion implied	module:02 sense:spatial type:recognition frequency:high register:neutral cefr:a1 image-schema:over generalisable:yes picture-cue:yes picture-query:"pendant lamp above dining table"
The castle stands <b>between</b> two rivers.	between (TWO THINGS)	spatial	be + between + dual landmarks	the castle	two rivers	intrinsic	between	Located in the space separating exactly two entities	dual-partition of space	among many objects (more than two)	when there are more than two reference points	module:02 sense:spatial type:recognition frequency:high register:neutral cefr:a1 image-schema:between generalisable:yes picture-cue:yes picture-query:"castle between two rivers aerial"
The flowers were scattered <b>among</b> the rocks.	among (WITHIN GROUP)	spatial	be + among + multiple landmarks	the flowers	the rocks	intrinsic	cluster	Located within a group or cluster of multiple entities	dispersed cluster	between two things (only two)	with exactly two landmarks	module:02 sense:spatial type:recognition frequency:high register:neutral cefr:a1 image-schema:cluster generalisable:yes picture-cue:yes picture-query:"wildflowers scattered between rocks"
The door is <b>behind</b> the curtain.	behind (REAR SIDE)	spatial	be + behind + landmark at rear	the door	the curtain	intrinsic	between	Located on the back or non-visible side of a reference object	occluded position	in front of the curtain (visible side)	when the trajector is visible from the observer's viewpoint	module:02 sense:spatial type:recognition frequency:high register:neutral cefr:a1 image-schema:between generalisable:yes picture-cue:yes picture-query:"doorway behind curtain"
The children stood <b>in front of</b> the school.	in front of (FORWARD SIDE)	spatial	be + in front of + landmark	the children	the school	intrinsic	between	Located on the forward-facing side of a reference object	facing direction matters	behind the school (back side)	when dealing with non-oriented objects	module:02 sense:spatial type:recognition frequency:high register:neutral cefr:a1 image-schema:between generalisable:yes picture-cue:yes picture-query:"schoolchildren in front of school building"
The mirror is <b>opposite</b> the sofa.	opposite (ACROSS FROM)	spatial	be + opposite + landmark across space	the mirror	the sofa	relative	point	Located across a space or dividing line from a landmark	facing relationship across space	next to the sofa (beside, not across)	when aligned on same side	module:02 sense:spatial type:recognition frequency:mid register:neutral cefr:b1 image-schema:point generalisable:yes
She sat <b>next to</b> her friend.	next to (ADJACENT CLOSE)	spatial	be + next to + adjacent landmark	she	her friend	intrinsic	between	Positioned immediately adjacent to; touching or very near	contact-proximity	by her friend (slightly more distant)	when there is clear distance	module:02 sense:spatial type:recognition frequency:high register:neutral cefr:a1 image-schema:between generalisable:yes picture-cue:yes picture-query:"two friends sitting together close"
The store is <b>beside</b> the post office.	beside (ALONGSIDE)	spatial	be + beside + parallel landmark	the store	the post office	intrinsic	point	Positioned alongside another object; sharing an edge or axis	flank adjacency	next to the post office (closer contact)	in very intimate spatial contexts	module:02 sense:spatial type:recognition frequency:high register:neutral cefr:a1 image-schema:point generalisable:yes picture-cue:yes picture-query:"post office street view"
The café is <b>near</b> the train station.	near (PROXIMITY)	spatial	be + near + proximate landmark	the café	the train station	absolute	point	Located in the general vicinity of a reference point	unmarked proximity	by the train station (more specific bearing)	in highly technical spatial descriptions	module:02 sense:spatial type:recognition frequency:high register:neutral cefr:a1 image-schema:point generalisable:yes picture-cue:yes picture-query:"small cafe outside train station"
The house is <b>by</b> the river.	by (ADJACENT SPECIFIC)	spatial	be + by + specific landmark	the house	the river	absolute	point	Positioned alongside a natural or linear landmark	adjacency to a feature	near the river (vaguer distance)	with non-linear, diffuse landmarks	module:02 sense:spatial type:recognition frequency:high register:neutral cefr:a1 image-schema:point generalisable:yes
Children played <b>around</b> the playground.	around (STATIC PERIMETER)	spatial	be + around + central landmark	the children	the playground	relative	cluster	Distributed in various positions encircling a central point	encirclement without motion	✗ around the playground (motion; touring)	when describing directed circular motion	module:02 sense:spatial type:recognition frequency:high register:neutral cefr:a1 image-schema:cluster generalisable:partial picture-cue:yes picture-query:"children playing playground equipment"
The keys are <b>inside</b> the drawer.	inside (INTERIOR)	spatial	be + inside + bounded enclosure	the keys	the drawer	intrinsic	container	Located within the interior of an enclosed space	containment by barriers	outside the drawer (external)	when the landmark has no clear boundary	module:02 sense:spatial type:recognition frequency:high register:neutral cefr:a1 image-schema:container generalisable:yes picture-cue:yes picture-query:"keys inside open drawer"
The car is parked <b>outside</b> the garage.	outside (EXTERIOR)	spatial	be + outside + bounded landmark	the car	the garage	intrinsic	container	Located in the external area beyond the boundary of a landmark	external to container	inside the garage (within)	with fully interior locations	module:02 sense:spatial type:recognition frequency:high register:neutral cefr:a1 image-schema:container generalisable:yes picture-cue:yes picture-query:"car parked outside garage driveway"
The ladder leans <b>against</b> the wall.	against (CONTACT FORCE)	spatial	be + against + surface landmark	the ladder	the wall	intrinsic	support	Pressed into contact with a surface; in opposition or support	surface contact under force	beside the wall (not pressing)	when merely adjacent without contact pressure	module:02 sense:spatial type:recognition frequency:high register:neutral cefr:a1 image-schema:support generalisable:yes
The bridge spans <b>across from</b> the old fort.	across from (OPPOSITE SIDE)	spatial	be + across from + far landmark	the bridge	the old fort	relative	between	Located on the opposite side of an intervening space	faced separation	opposite the fort (single word alternative)	when phrasing needs compactness	module:02 sense:spatial type:recognition frequency:low register:neutral cefr:b2 image-schema:between generalisable:no
