#separator:tab
#html:true
#columns:Text	Hint	Tags
The roots grow {{c1::beneath}} the soil in a spreading network.	Hidden under a protective or covering layer; formal tone	module:02 sense:spatial type:cloze frequency:mid register:formal cefr:b1 image-schema:under generalisable:yes
The plane flew {{c1::over}} the mountains on its way to the coast.	Traversing above; crossing the top of an obstacle	module:02 sense:spatial type:cloze frequency:high register:neutral cefr:a1 image-schema:over generalisable:yes
The bench is {{c1::opposite}} the fountain in the town plaza.	Located across a space from a landmark	module:02 sense:spatial type:cloze frequency:mid register:neutral cefr:b1 image-schema:point generalisable:yes
Tom stood {{c1::next to}} his sister during the entire concert.	Immediately adjacent with minimal or no gap	module:02 sense:spatial type:cloze frequency:high register:neutral cefr:a1 image-schema:point generalisable:yes
The car is parked {{c1::outside}} the garage where it can be seen.	Located in the external area beyond a boundary	module:02 sense:spatial type:cloze frequency:high register:neutral cefr:a1 image-schema:none generalisable:yes
The submarine went {{c1::below}} the surface to avoid detection.	At a lower vertical position relative to a reference	module:02 sense:spatial type:cloze frequency:mid register:formal cefr:b1 image-schema:under generalisable:partial
The cottage stands {{c1::by}} the river with a beautiful view.	Positioned alongside a natural or linear landmark	module:02 sense:spatial type:cloze frequency:high register:neutral cefr:a1 image-schema:point generalisable:yes
She found herself {{c1::among}} strangers at the crowded reception.	Surrounded by or immersed in a group of people	module:02 sense:spatial type:cloze frequency:high register:neutral cefr:a1 image-schema:cluster generalisable:yes
The sign hung {{c1::against}} the shop window to advertise the sale.	Backed against or pressed into contact with a surface	module:02 sense:spatial type:cloze frequency:high register:neutral cefr:a1 image-schema:support generalisable:yes
She walked {{c1::to}} the market to buy groceries.	Directional motion toward a destination	module:04 sense:movement type:cloze frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
The cat ran {{c1::into}} the house when it started raining.	Crossing a boundary to enter the interior	module:04 sense:movement type:cloze frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
He jumped {{c1::onto}} the chair to reach the shelf.	Mounting a surface by upward motion	module:04 sense:movement type:cloze frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
The ball rolled {{c1::out of}} the box and across the floor.	Exiting the interior of a container	module:04 sense:movement type:cloze frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
She removed the lid {{c1::off}} the jar with some effort.	Separating an object from a surface	module:04 sense:movement type:cloze frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
The letter came {{c1::from}} Tokyo last week.	Indicating the point of origin	module:04 sense:movement type:cloze frequency:high register:neutral cefr:a1 image-schema:point generalisable:yes
We walked {{c1::through}} the park enjoying the scenery.	Passing through the interior of a space	module:04 sense:movement type:cloze frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
The bridge spans {{c1::across}} the river at its widest point.	Extending laterally from one side to the opposite	module:04 sense:movement type:cloze frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
We walked {{c1::along}} the beach looking for seashells.	Moving parallel to a linear landmark	module:04 sense:movement type:cloze frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
They moved {{c1::towards}} the exit when the movie ended.	Directed motion in the direction of a goal	module:04 sense:movement type:cloze frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
The child ran {{c1::away from}} the dog that chased him.	Moving in a direction opposite to a threat	module:04 sense:movement type:cloze frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
The climber struggled {{c1::up}} the steep mountain face.	Moving in an upward direction	module:04 sense:movement type:cloze frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
The water flows {{c1::down}} the mountainside after the rain.	Moving in a downward direction	module:04 sense:movement type:cloze frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
The car drove {{c1::past}} the house without stopping.	Moving laterally alongside a reference point	module:04 sense:movement type:cloze frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
The runners raced {{c1::around}} the track for the final lap.	Moving in a circular path around a reference	module:04 sense:movement type:cloze frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
The package was sent {{c1::via}} airmail to save time.	Traveling through an intermediary route	module:04 sense:movement type:cloze frequency:mid register:formal cefr:b1 image-schema:path generalisable:yes
She stepped {{c1::out of}} the car when we arrived.	Exiting the interior of a vehicle	module:04 sense:movement type:cloze frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
He fell {{c1::off}} the ladder and hurt his arm.	Falling or separating from a mounted surface	module:04 sense:movement type:cloze frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
They arrived {{c1::in}} Paris after a long journey.	Reaching and entering within a large city	module:04 sense:movement type:cloze frequency:high register:neutral cefr:a1 image-schema:point generalisable:yes
The tunnel goes {{c1::through}} the mountain to the other side.	Cutting a passage through a solid obstacle	module:04 sense:movement type:cloze frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
She depends {{c1::on}} her parents for financial support.	depend on	module:05 sense:dependent type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb
Listen {{c1::to}} the instructions before starting.	listen to	module:05 sense:dependent type:cloze frequency:high register:neutral cefr:a1 image-schema:none generalisable:no dependent:verb
She looked {{c1::at}} the painting for an hour.	look at	module:05 sense:dependent type:cloze frequency:high register:neutral cefr:a1 image-schema:none generalisable:no dependent:verb
I'm looking {{c1::for}} my keys everywhere.	look for	module:05 sense:dependent type:cloze frequency:high register:neutral cefr:a1 image-schema:none generalisable:no dependent:verb
She looks {{c1::after}} her elderly grandmother.	look after	module:05 sense:dependent type:cloze frequency:high register:neutral cefr:a1 image-schema:none generalisable:no dependent:verb
The police are looking {{c1::into}} the theft.	look into	module:05 sense:dependent type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb
I agree {{c1::with}} your opinion completely.	agree with	module:05 sense:dependent type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb
They agreed {{c1::to}} the contract terms.	agree to	module:05 sense:dependent type:cloze frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:verb
The committee agreed {{c1::on}} a final decision.	agree on	module:05 sense:dependent type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb
The mixture consists {{c1::of}} flour and eggs.	consist of	module:05 sense:dependent type:cloze frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:verb
These paintings belong {{c1::to}} the museum.	belong to	module:05 sense:dependent type:cloze frequency:high register:neutral cefr:a2 image-schema:none generalisable:no dependent:verb
He apologised {{c1::for}} arriving late.	apologise for	module:05 sense:dependent type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb
They congratulated her {{c1::on}} winning.	congratulate on	module:05 sense:dependent type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb
Parents prevented him {{c1::from}} leaving alone.	prevent from	module:05 sense:dependent type:cloze frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:verb
Police accused him {{c1::of}} stealing.	accuse of	module:05 sense:dependent type:cloze frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:verb
The accident resulted {{c1::in}} injuries.	result in	module:05 sense:dependent type:cloze frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:verb
The problem resulted {{c1::from}} poor planning.	result from	module:05 sense:dependent type:cloze frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:verb
Their opinions differ {{c1::from}} ours.	differ from	module:05 sense:dependent type:cloze frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:verb
The report refers {{c1::to}} earlier studies.	refer to	module:05 sense:dependent type:cloze frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:verb
She coped {{c1::with}} stress by exercising.	cope with	module:05 sense:dependent type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb
They talk {{c1::to}} their grandparents weekly.	talk to	module:05 sense:dependent type:cloze frequency:high register:neutral cefr:a2 image-schema:none generalisable:no dependent:verb
We talked {{c1::with}} the manager yesterday.	talk with	module:05 sense:dependent type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb
The flight arrives {{c1::at}} the airport at noon.	arrive at	module:05 sense:dependent type:cloze frequency:high register:neutral cefr:a2 image-schema:none generalisable:no dependent:verb
They will arrive {{c1::in}} Tokyo next week.	arrive in	module:05 sense:dependent type:cloze frequency:high register:neutral cefr:a2 image-schema:none generalisable:no dependent:verb
I think {{c1::of}} him when I hear that song.	think of	module:05 sense:dependent type:cloze frequency:high register:neutral cefr:a2 image-schema:none generalisable:no dependent:verb
She's thinking {{c1::about}} changing careers.	think about	module:05 sense:dependent type:cloze frequency:high register:neutral cefr:a1 image-schema:none generalisable:no dependent:verb
She dreams {{c1::of}} becoming a dancer.	dream of	module:05 sense:dependent type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb
Last night I dreamed {{c1::about}} swimming.	dream about	module:05 sense:dependent type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb
I haven't heard {{c1::from}} my cousin.	hear from	module:05 sense:dependent type:cloze frequency:high register:neutral cefr:a2 image-schema:none generalisable:no dependent:verb
Did you hear {{c1::about}} the scandal?	hear about	module:05 sense:dependent type:cloze frequency:high register:neutral cefr:a2 image-schema:none generalisable:no dependent:verb
She is afraid {{c1::of}} spiders.	afraid of	module:06 sense:dependent type:cloze frequency:high register:neutral cefr:a1 image-schema:none generalisable:no dependent:adjective
He is interested {{c1::in}} music.	interested in	module:06 sense:dependent type:cloze frequency:high register:neutral cefr:a2 image-schema:none generalisable:no dependent:adjective
They are fond {{c1::of}} chocolate.	fond of	module:06 sense:dependent type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:adjective
She is proud {{c1::of}} her achievements.	proud of	module:06 sense:dependent type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:adjective
He is responsible {{c1::for}} the project.	responsible for	module:06 sense:dependent type:cloze frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:adjective
She is familiar {{c1::with}} the system.	familiar with	module:06 sense:dependent type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:adjective
He is good {{c1::at}} mathematics.	good at	module:06 sense:dependent type:cloze frequency:high register:neutral cefr:a2 image-schema:none generalisable:no dependent:adjective
She is good {{c1::with}} children.	good with	module:06 sense:dependent type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:adjective
Exercise is good {{c1::for}} health.	good for	module:06 sense:dependent type:cloze frequency:high register:neutral cefr:a2 image-schema:none generalisable:no dependent:adjective
She is worried {{c1::about}} the exam.	worried about	module:06 sense:dependent type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:adjective
He is nervous {{c1::about}} speaking.	nervous about	module:06 sense:dependent type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:adjective
She is grateful {{c1::to}} her parents.	grateful to	module:06 sense:dependent type:cloze frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:adjective
She is grateful {{c1::for}} the opportunity.	grateful for	module:06 sense:dependent type:cloze frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:adjective
This is different {{c1::from}} that.	different from	module:06 sense:dependent type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:adjective
She is similar {{c1::to}} her mother.	similar to	module:06 sense:dependent type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:adjective
He is concerned {{c1::about}} climate change.	concerned about	module:06 sense:dependent type:cloze frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:adjective
She is patient {{c1::with}} her students.	patient with	module:06 sense:dependent type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:adjective
He is loyal {{c1::to}} his friends.	loyal to	module:06 sense:dependent type:cloze frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:adjective
She is excited {{c1::about}} the vacation.	excited about	module:06 sense:dependent type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:adjective
He is jealous {{c1::of}} her success.	jealous of	module:06 sense:dependent type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:adjective
The reason {{c1::for}} his absence was clear.	reason for	module:07 sense:dependent type:cloze frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:noun
The cause {{c1::of}} the accident was negligence.	cause of	module:07 sense:dependent type:cloze frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:noun
The effect {{c1::on}} the environment was severe.	effect on	module:07 sense:dependent type:cloze frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:noun
The influence {{c1::on}} young people was significant.	influence on	module:07 sense:dependent type:cloze frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:noun
The increase {{c1::in}} prices affected everyone.	increase in	module:07 sense:dependent type:cloze frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:noun
The decrease {{c1::in}} population was concerning.	decrease in	module:07 sense:dependent type:cloze frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:noun
The rise {{c1::in}} unemployment was dramatic.	rise in	module:07 sense:dependent type:cloze frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:noun
The fall {{c1::in}} interest rates was unexpected.	fall in	module:07 sense:dependent type:cloze frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:noun
The solution {{c1::to}} the problem was simple.	solution to	module:07 sense:dependent type:cloze frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:noun
The answer {{c1::to}} the question was obvious.	answer to	module:07 sense:dependent type:cloze frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:noun
The key {{c1::to}} success is hard work.	key to	module:07 sense:dependent type:cloze frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:noun
A cure {{c1::for}} cancer is being researched.	cure for	module:07 sense:dependent type:cloze frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:noun
There is a need {{c1::for}} more resources.	need for	module:07 sense:dependent type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:noun
The demand {{c1::for}} housing is increasing.	demand for	module:07 sense:dependent type:cloze frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:noun
The difference {{c1::between}} them was obvious.	difference between	module:07 sense:dependent type:cloze frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:noun
The match was cancelled {{c1::because of}} the rain.	because of	module:08 sense:phrasal type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:partial
We couldn't attend the meeting {{c1::due to}} unforeseen circumstances.	due to	module:08 sense:phrasal type:cloze frequency:high register:formal cefr:b1 image-schema:none generalisable:partial
The delay was {{c1::owing to}} a technical fault.	owing to	module:08 sense:phrasal type:cloze frequency:mid register:formal cefr:b2 image-schema:none generalisable:partial
We succeeded {{c1::thanks to}} your support.	thanks to	module:08 sense:phrasal type:cloze frequency:high register:neutral cefr:a2 image-schema:none generalisable:partial
I'll have coffee {{c1::instead of}} tea.	instead of	module:08 sense:phrasal type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:partial
I'd prefer to walk {{c1::rather than}} take the bus.	rather than	module:08 sense:phrasal type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:partial
{{c1::In spite of}} the difficulties, we continued.	In spite of	module:08 sense:phrasal type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:partial
{{c1::Despite}} his injuries, he played well.	Despite	module:08 sense:phrasal type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:partial
{{c1::Regardless of}} the outcome, I'm proud of the effort.	Regardless of	module:08 sense:phrasal type:cloze frequency:mid register:formal cefr:b2 image-schema:none generalisable:partial
The report was compiled {{c1::according to}} international standards.	according to	module:08 sense:phrasal type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:partial
Our proposal is {{c1::in line with}} your company's values.	in line with	module:08 sense:phrasal type:cloze frequency:high register:neutral cefr:b2 image-schema:none generalisable:partial
{{c1::In addition to}} the main course, we served dessert.	In addition to	module:08 sense:phrasal type:cloze frequency:high register:formal cefr:b1 image-schema:none generalisable:partial
{{c1::Apart from}} the noise, the hotel was excellent.	Apart from	module:08 sense:phrasal type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:partial
{{c1::Except for}} the final chapter, the book was engaging.	Except for	module:08 sense:phrasal type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:partial
The petition was filed {{c1::on behalf of}} the union.	on behalf of	module:08 sense:phrasal type:cloze frequency:mid register:formal cefr:b1 image-schema:none generalisable:partial
{{c1::In light of}} new evidence, we revised our conclusions.	In light of	module:08 sense:phrasal type:cloze frequency:mid register:formal cefr:b2 image-schema:none generalisable:partial
{{c1::In view of}} the circumstances, we postponed the event.	In view of	module:08 sense:phrasal type:cloze frequency:mid register:formal cefr:b2 image-schema:none generalisable:partial
The mechanism operates {{c1::by means of}} hydraulic pressure.	by means of	module:08 sense:phrasal type:cloze frequency:mid register:formal cefr:b2 image-schema:none generalisable:partial
{{c1::Regarding}} your inquiry, we will respond shortly.	Regarding	module:08 sense:phrasal type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:partial
{{c1::Concerning}} the budget proposal, questions remain.	Concerning	module:08 sense:phrasal type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:partial
The train arrived {{c1::on time}}.	on time	module:09 sense:idiomatic type:cloze frequency:high register:neutral cefr:a2 image-schema:none generalisable:no mnemonic:yes
We arrived {{c1::in time}} to catch the bus.	in time	module:09 sense:idiomatic type:cloze frequency:high register:neutral cefr:a2 image-schema:none generalisable:no mnemonic:yes
The rain came {{c1::at the right time}} for the crops.	at the right time	module:09 sense:idiomatic type:cloze frequency:mid register:neutral cefr:b1 image-schema:none generalisable:no mnemonic:yes
He broke the vase {{c1::by accident}}.	by accident	module:09 sense:idiomatic type:cloze frequency:high register:neutral cefr:a2 image-schema:none generalisable:no mnemonic:yes
I did it {{c1::on purpose}}.	on purpose	module:09 sense:idiomatic type:cloze frequency:high register:neutral cefr:a2 image-schema:none generalisable:no mnemonic:yes
She answered incorrectly {{c1::by mistake}}.	by mistake	module:09 sense:idiomatic type:cloze frequency:high register:neutral cefr:a2 image-schema:none generalisable:no mnemonic:yes
She came to the party {{c1::on foot}}.	on foot	module:09 sense:idiomatic type:cloze frequency:high register:neutral cefr:a1 image-schema:none generalisable:no mnemonic:yes
I traveled {{c1::by car}}.	by car	module:09 sense:idiomatic type:cloze frequency:high register:neutral cefr:a1 image-schema:none generalisable:no mnemonic:yes
He commutes {{c1::by bus}} daily.	by bus	module:09 sense:idiomatic type:cloze frequency:high register:neutral cefr:a1 image-schema:none generalisable:no mnemonic:yes
We flew {{c1::by plane}}.	by plane	module:09 sense:idiomatic type:cloze frequency:high register:neutral cefr:a1 image-schema:none generalisable:no mnemonic:yes
She sat {{c1::in a car}} and waited.	in a car	module:09 sense:idiomatic type:cloze frequency:high register:neutral cefr:a1 image-schema:none generalisable:no mnemonic:yes
We sat {{c1::on a bus}} for hours.	on a bus	module:09 sense:idiomatic type:cloze frequency:high register:neutral cefr:a1 image-schema:none generalisable:no mnemonic:yes
The show is {{c1::on TV}}.	on TV	module:09 sense:idiomatic type:cloze frequency:high register:neutral cefr:a2 image-schema:none generalisable:no mnemonic:yes
The interview is {{c1::on the radio}}.	on the radio	module:09 sense:idiomatic type:cloze frequency:high register:neutral cefr:a2 image-schema:none generalisable:no mnemonic:yes
The story appeared {{c1::in the news}}.	in the news	module:09 sense:idiomatic type:cloze frequency:high register:neutral cefr:a2 image-schema:none generalisable:no mnemonic:yes
She's {{c1::in love}}.	in love	module:09 sense:idiomatic type:cloze frequency:high register:neutral cefr:a2 image-schema:none generalisable:no mnemonic:yes
He's {{c1::in trouble}}.	in trouble	module:09 sense:idiomatic type:cloze frequency:high register:neutral cefr:a2 image-schema:none generalisable:no mnemonic:yes
The child is {{c1::in danger}}.	in danger	module:09 sense:idiomatic type:cloze frequency:high register:neutral cefr:a2 image-schema:none generalisable:no mnemonic:yes
She's {{c1::in pain}}.	in pain	module:09 sense:idiomatic type:cloze frequency:high register:neutral cefr:a2 image-schema:none generalisable:no mnemonic:yes
We're {{c1::in a hurry}}.	in a hurry	module:09 sense:idiomatic type:cloze frequency:high register:neutral cefr:a2 image-schema:none generalisable:no mnemonic:yes
The team is {{c1::under pressure}}.	under pressure	module:09 sense:idiomatic type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no mnemonic:yes
The situation is {{c1::under control}}.	under control	module:09 sense:idiomatic type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no mnemonic:yes
The store is {{c1::out of stock}}.	out of stock	module:09 sense:idiomatic type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no mnemonic:yes
He's been {{c1::out of work}} for months.	out of work	module:09 sense:idiomatic type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no mnemonic:yes
She ran {{c1::out of breath}}.	out of breath	module:09 sense:idiomatic type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no mnemonic:yes
My success {{c1::depends on}} hard work.	depend on (Spanish-trap)	module:10 sense:interference type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no l1:spanish
I often {{c1::think about}} my childhood.	think about (Spanish-trap)	module:10 sense:interference type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no l1:spanish
She is {{c1::married to}} a doctor.	married to (Spanish-trap)	module:10 sense:interference type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no l1:spanish
He {{c1::dreams of}} becoming a pilot.	dream of (Spanish-trap)	module:10 sense:interference type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no l1:spanish
I'll see you {{c1::at}} 8 a.m.	clock-time point; spanish-trap (asking *en the night*)	module:10 sense:interference type:cloze frequency:high register:neutral cefr:a2 image-schema:none generalisable:no l1:spanish
I {{c1::listened to}} the podcast yesterday.	listen to (French-trap)	module:10 sense:interference type:cloze frequency:high register:neutral cefr:a2 image-schema:none generalisable:no l1:french
I {{c1::waited for}} the bus in the rain.	wait for (French-trap)	module:10 sense:interference type:cloze frequency:high register:neutral cefr:a2 image-schema:none generalisable:no l1:french
She {{c1::looked at}} the painting with great interest.	look at (French-trap)	module:10 sense:interference type:cloze frequency:high register:neutral cefr:a2 image-schema:none generalisable:no l1:french
