#separator:tab
#html:true
#columns:Prompt	Target	Sense	Sample	Why	Tags
Write about traveling internationally. Include various modes of transport and stopping points.	from / to / via / through	movement	We flew <b>from</b> New York <b>to</b> London <b>via</b> a stopover in Dublin. The taxi took us <b>through</b> the city streets <b>to</b> the hotel.	from = origin; to = destination(s); via = intermediate routing; through = interior city transit	module:04 sense:movement type:production frequency:high register:neutral cefr:b1 image-schema:path generalisable:yes
Describe a person escaping danger or fleeing a location. Use dynamic movement vocabulary.	away from / past / onto / through / towards	movement	He ran <b>away from</b> the building, sprinted <b>past</b> the guards, and jumped <b>onto</b> the moving train. The train sped <b>through</b> the night <b>towards</b> safety.	away from = divergent evasion; past = tangential bypass; onto = surface mounting; through = interior transit; towards = convergent goal	module:04 sense:movement type:production frequency:mid register:formal cefr:b2 image-schema:path generalisable:yes
Write about putting together or assembling an object. Describe the physical movements and placements.	onto / into / above	movement	First, I placed the frame <b>onto</b> the base. Then I put the mirror <b>into</b> the frame and secured it. I hung the assembled piece <b>onto</b> the wall, <b>above</b> the console table.	onto = surface contact placement; into = interior insertion; above = vertical positioning	module:04 sense:movement type:production frequency:high register:neutral cefr:a1 image-schema:support generalisable:yes
Describe a water journey (river, ocean, canal). Include directional changes and geographic transitions.	from / across / through / towards / along	movement	The boat sailed <b>from</b> the harbor <b>across</b> the bay, then navigated <b>through</b> narrow straits <b>towards</b> the island. We moved <b>along</b> the coast before anchoring near the reef.	from = origin point; across = lateral water crossing; through = narrow passage navigation; towards = destination approach; along = parallel coastline	module:04 sense:movement type:production frequency:high register:neutral cefr:b1 image-schema:path generalisable:yes
Write about contents being removed or discarded. Show the act of extraction and departure.	out of / off / from / into / away from	movement	I took the trash <b>out of</b> the can, swept crumbs <b>off</b> the table, and removed books <b>from</b> the shelf. Everything went <b>into</b> a donation box that I carried <b>away from</b> the house.	out of = interior exit; off = surface removal; from = origin; into = interior placement; away from = divergent transport	module:04 sense:movement type:production frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
Describe someone arriving at a destination after traveling. Include the final approach and arrival.	through / across / in / into / towards / next to	movement	After driving <b>through</b> the suburbs and <b>across</b> the bridge, we finally arrived <b>in</b> the city center. We pulled <b>into</b> the parking garage <b>towards</b> the nearest space <b>next to</b> the elevator.	through = suburban transit; across = bridge crossing; in = arrival within city; into = parking garage entry; towards = space approach	module:04 sense:movement type:production frequency:high register:neutral cefr:b1 image-schema:path generalisable:yes
Write about the motion of natural elements (wind, water, weather). Capture the trajectory and impact.	through / towards / down / from / across	movement	The wind blew <b>through</b> the trees <b>towards</b> the coast, carrying leaves <b>down</b> the street. Rain poured <b>down</b> <b>from</b> the clouds, flowing <b>across</b> rooftops and gutters.	through = penetrating traverse; towards = directional approach; down = gravitational descent (twice); from = atmospheric source; across = lateral flow	module:04 sense:movement type:production frequency:high register:neutral cefr:b1 image-schema:path generalisable:yes
Describe a person moving through a building or complex structure with multiple levels and rooms.	into / up / through / towards / by / at	movement	I entered <b>into</b> the lobby and climbed <b>up</b> the stairs. I walked <b>through</b> the hallway <b>towards</b> the conference room, passed <b>by</b> several offices, and finally arrived <b>at</b> my destination.	into = entry to interior; up = vertical ascent; through = hallway transit; towards = destination direction; by/past = lateral bypass; at = arrival point	module:04 sense:movement type:production frequency:high register:neutral cefr:a2 image-schema:path generalisable:yes
Write about a sports event where athletes move through space, changing direction and speed.	towards / past / to / away from	movement	The sprinters ran <b>towards</b> the finish line, sprinting <b>past</b> slower runners. The relay runner passed the baton <b>to</b> her teammate and then moved <b>away from</b> the track.	towards = goal-directed sprint; past = overtaking motion; to = baton transfer; away from = post-race movement	module:04 sense:movement type:production frequency:high register:neutral cefr:b1 image-schema:path generalisable:yes
Describe a shopping or errand-running journey. Include multiple stops and directional changes.	to / into / out of / via	movement	I walked <b>to</b> the supermarket, went <b>into</b> the store, picked up items and then came <b>out of</b> the building. I drove <b>to</b> the post office <b>via</b> the main street.	to = destinations (twice); into = interior entry; out of = interior exit; via = route selection	module:04 sense:movement type:production frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
Write about a bird or animal's movement through its environment, using multiple directional prepositions.	up / across / towards / around / down	movement	The eagle soared <b>up</b> into the sky, flew <b>across</b> the valley and <b>towards</b> the mountains. It circled <b>around</b> the peak before diving <b>down</b> <b>towards</b> its nest.	up = ascent; across = lateral valley crossing; towards = destination approach (twice); around = orbital motion; down = descent	module:04 sense:movement type:production frequency:high register:neutral cefr:b1 image-schema:path generalisable:yes
Describe loading or unloading cargo from a vehicle or container. Include sequential placement actions.	from / into / onto / out of / away from	movement	We removed boxes <b>from</b> the truck and carried them <b>into</b> the warehouse. We placed them <b>onto</b> shelves and stacked them carefully. Finally, we took old items <b>out of</b> storage <b>away from</b> the main section.	from = vehicle origin; into = warehouse entry; onto = shelf placement; out of = storage exit; away from = relocation direction	module:04 sense:movement type:production frequency:high register:neutral cefr:a2 image-schema:path generalisable:yes
Write about navigating a city or town, including streets, intersections, and landmarks.	from / along / through / towards / across / at	movement	We exited <b>from</b> the hotel and walked <b>along</b> the main avenue. We turned and went <b>through</b> the side streets <b>towards</b> the market. The plaza appeared <b>across</b> from the museum, where we stopped <b>at</b> the café.	from = hotel exit; along = avenue following; through = street navigation; towards = market direction; across from = plaza positioning; at = café arrival	module:04 sense:movement type:production frequency:high register:neutral cefr:b1 image-schema:path generalisable:yes
Describe a person climbing or descending stairs, ladders, or slopes with multiple segments.	up / along / down / onto / out of / into	movement	She climbed <b>up</b> the first flight of stairs, then walked <b>along</b> the landing. She descended <b>down</b> the second flight and finally stepped <b>onto</b> the ground floor. She exited <b>out of</b> the building <b>into</b> the courtyard.	up = ascent on stairs; along = landing traversal; down = descent on stairs; onto = ground contact; out of = building exit; into = courtyard entry	module:04 sense:movement type:production frequency:high register:neutral cefr:a2 image-schema:path generalisable:yes
Write about a river or stream journey with currents, bends, and tributaries.	down / through / around / towards / along / into	movement	The kayak drifted <b>down</b> the river, floating <b>through</b> narrow canyons and <b>around</b> rocky bends. We paddled <b>towards</b> the wider section, moving <b>along</b> the bank until we reached the confluence where the tributary flowed <b>into</b> the main stream.	down = downstream drift; through = canyon passage; around = obstacle navigation; towards = section approach; along = bankside progress; into = tributary confluence	module:04 sense:movement type:production frequency:high register:neutral cefr:b1 image-schema:path generalisable:yes
Describe moving furniture or large objects into, around, and out of a space.	into / against / around / opposite / out of	movement	We carried the sofa <b>into</b> the living room and pushed it <b>against</b> the wall. We maneuvered the bookcase <b>around</b> the corner and positioned it <b>opposite</b> the sofa. Later, we removed both pieces <b>out of</b> the room <b>into</b> a storage unit.	into = room entry (twice); against = wall placement; around = corner navigation; opposite = facing placement; out of = room removal	module:04 sense:movement type:production frequency:high register:neutral cefr:a2 image-schema:path generalisable:yes
