#separator:tab
#html:true
#columns:Sentence	OptionA	OptionB	Answer	Why	Tip	Tags
He hasn't called me ___ ages.	since	for	for	'Ages' is a colloquial way of saying 'a long time' — that's a duration, so 'for'. 'Since ages' is incorrect because there is no specific starting point.	'Ages' / 'a long time' / 'years' = duration → 'for'.	module:03 sense:temporal type:contrast frequency:high register:informal cefr:b1 image-schema:none generalisable:yes contrast:for-vs-since
She fell asleep ___ the lecture.	while	during	during	'During' is a preposition that takes a noun phrase (the lecture). 'While' is a conjunction that needs a clause with its own subject and verb.	'During' + noun phrase. 'While' + subject + verb.	module:03 sense:temporal type:contrast frequency:high register:neutral cefr:b1 image-schema:none generalisable:yes contrast:during-vs-while
She fell asleep ___ the professor was talking.	during	while	while	The second part has a subject (the professor) and a verb (was talking) — that's a clause, which needs the conjunction 'while'. 'During' would need a noun phrase instead.	If a subject + verb follows → 'while'. If a noun phrase follows → 'during'.	module:03 sense:temporal type:contrast frequency:high register:neutral cefr:b1 image-schema:none generalisable:yes contrast:during-vs-while
Please call me back ___ an hour.	within	in	in	'In an hour' specifies a future moment exactly one hour from now (a single point). 'Within an hour' would mean at any time UP TO that point (a span). The instruction here is for a single future call, so 'in'.	'In' + duration = a single future point. 'Within' + duration = a span ending at that point.	module:03 sense:temporal type:contrast frequency:mid register:neutral cefr:b2 image-schema:none generalisable:partial contrast:in-vs-within
Please respond ___ 24 hours.	in	within	within	'Within 24 hours' specifies a deadline + permitted span — the response can come any time up to 24 hours from now. 'In 24 hours' would specify a single moment exactly 24 hours from now.	If a deadline 'no later than' is meant → 'within'. If a single future moment → 'in'.	module:03 sense:temporal type:contrast frequency:high register:formal cefr:b2 image-schema:none generalisable:partial contrast:in-vs-within
We met for the first time three years ___.	before	ago	ago	'Ago' is post-positional and pairs with the past simple to mark distance backward from now. 'Before' would need to be 'three years before' a referenced past event, not a stand-alone past time.	'Ago' = backward from now (past simple). 'Before' = before a referenced point (past perfect).	module:03 sense:temporal type:contrast frequency:high register:neutral cefr:a2 image-schema:none generalisable:yes contrast:before-vs-ago
By the time we arrived, the show had started two hours ___.	ago	before	before	The reference point is 'when we arrived' (in the past), and 'before' positions the start of the show two hours earlier than that past reference. 'Ago' would measure backward from NOW, which doesn't fit.	'Ago' anchors on now. 'Before' anchors on a referenced past moment.	module:03 sense:temporal type:contrast frequency:mid register:neutral cefr:b2 image-schema:none generalisable:yes contrast:before-vs-ago
She works as a freelancer ___ the moment.	in	at	at	'At the moment' is a fixed phrase meaning 'right now' (point in time). 'In the moment' exists but means absorbed/engaged in something — completely different sense.	'At the moment' = right now. 'In the moment' = absorbed in an experience.	module:03 sense:temporal type:contrast frequency:high register:neutral cefr:a2 image-schema:none generalisable:yes contrast:in-on-at-time
The shop is open ___ 9 a.m. to 6 p.m.	since	from	from	'From … to …' specifies both endpoints of a span. 'Since 9 a.m.' would only mark the start, leaving the end open — wrong for a stated daily span.	'From X to Y' = both endpoints. 'Since X' = start of an unfinished period.	module:03 sense:temporal type:contrast frequency:high register:neutral cefr:a2 image-schema:none generalisable:yes contrast:for-vs-since
My success <b>depends on</b> hard work.	depend on	depend of	depend on	The correct English collocation is 'depend ON'. Spanish 'depender de' causes learners to produce 'depend OF' (error). Always use 'ON' regardless of L1.		module:10 sense:interference type:contrast frequency:high register:neutral cefr:b1 image-schema:none generalisable:no l1:spanish
I think <b>about</b> my childhood.	think about	think in	think about	'Think ABOUT' is standard. Spanish 'pensar en' causes the error 'think IN'. English requires 'about' or 'of', never 'in'.		module:10 sense:interference type:contrast frequency:high register:neutral cefr:b1 image-schema:none generalisable:no l1:spanish
She is <b>married to</b> a doctor.	married to	married with	married to	'Married TO' is correct. Spanish 'casado con' causes the error 'married WITH'. Always use 'TO' for marriage.		module:10 sense:interference type:contrast frequency:high register:neutral cefr:b1 image-schema:none generalisable:no l1:spanish
He <b>dreams of</b> becoming a pilot.	dream of	dream with	dream of	'Dream OF' is standard. Spanish 'soñar con' causes the error 'dream WITH'. English accepts 'dream of' or 'dream about', never 'with'.		module:10 sense:interference type:contrast frequency:high register:neutral cefr:b1 image-schema:none generalisable:no l1:spanish
I'll see you <b>at</b> 8 a.m.	at 8 a.m.	in 8 a.m.	at 8 a.m.	Time-of-day uses 'AT' (at 3 p.m., at noon). Spanish learners often say 'in 8 a.m.' (error). Always use 'AT' for clock times.		module:10 sense:interference type:contrast frequency:high register:neutral cefr:a2 image-schema:none generalisable:no l1:spanish
Please <b>enter</b> the room.	enter the room	enter into the room	enter the room	'Enter' is transitive bare (no preposition needed). Spanish 'entrar en' causes the error 'enter into'. English 'enter' never takes a preposition.		module:10 sense:interference type:contrast frequency:high register:neutral cefr:b1 image-schema:none generalisable:no l1:spanish
I <b>listened to</b> the podcast.	listen to	listen	listen to	'Listen TO' is obligatory. French 'écouter' is transitive bare, causing the error 'listen' (incomplete). English requires 'to'.		module:10 sense:interference type:contrast frequency:high register:neutral cefr:a2 image-schema:none generalisable:no l1:french
I <b>waited for</b> the bus.	wait for	wait	wait for	'Wait FOR' is mandatory. French 'attendre' is transitive bare, causing the error 'wait' (incomplete). English requires 'for'.		module:10 sense:interference type:contrast frequency:high register:neutral cefr:a2 image-schema:none generalisable:no l1:french
She <b>looked at</b> the painting.	look at	look	look at	'Look AT' is mandatory. French 'regarder' is transitive bare, causing the error 'look' (incomplete). English requires 'at'.		module:10 sense:interference type:contrast frequency:high register:neutral cefr:a2 image-schema:none generalisable:no l1:french
He is <b>interested in</b> art.	interested in	interested by	interested in	'Interested IN' is standard. French 'intéressé par' causes the error 'interested BY'. Always use 'IN'.		module:10 sense:interference type:contrast frequency:high register:neutral cefr:b1 image-schema:none generalisable:no l1:french
The photo is <b>in</b> the album.	in the photo	on the photo	in the photo	British English: 'in the photo'. American English: 'on the photo'. Both are correct in their dialect. For BrE, use 'in'.		module:10 sense:interference type:contrast frequency:mid register:neutral cefr:b1 image-schema:none generalisable:no l1:french
I <b>play</b> chess.	play chess	play at chess	play chess	Games use 'play' + bare object (play chess, play tennis). Never add 'at'. German learners often incorrectly add 'at'.		module:10 sense:interference type:contrast frequency:high register:neutral cefr:a2 image-schema:none generalisable:no l1:german
He works <b>on</b> Monday.	on Monday	at Monday	on Monday	Days of the week always take 'ON'. German 'am' (on) can confuse learners into using 'at' (error). Always use 'ON'.		module:10 sense:interference type:contrast frequency:high register:neutral cefr:a1 image-schema:none generalisable:no l1:german
I exercise <b>in</b> the morning.	in the morning	at the morning	in the morning	Times of day (morning, afternoon, evening, night) take 'IN'. German 'am Morgen' (lit. 'at') causes the error 'at morning'. Always use 'IN'.		module:10 sense:interference type:contrast frequency:high register:neutral cefr:b1 image-schema:none generalisable:no l1:german
I <b>think of</b> her fondly.	think of	think on	think of	'Think OF' is correct. German 'denken an' (at/to) causes the error 'think ON'. English uses 'of' or 'about', never 'on'.		module:10 sense:interference type:contrast frequency:high register:neutral cefr:b1 image-schema:none generalisable:no l1:german
She is <b>afraid of</b> spiders.	afraid of	afraid before	afraid of	'Afraid OF' is standard. German 'Angst vor' (before) might cause confusion. English always uses 'of' for fear.		module:10 sense:interference type:contrast frequency:high register:neutral cefr:b1 image-schema:none generalisable:no l1:german
She <b>depends on</b> her family.	depend on	depend from	depend on	'Depend ON' is correct. Russian 'зависит от' (from) causes the error 'depend FROM'. English always uses 'ON'.		module:10 sense:interference type:contrast frequency:high register:neutral cefr:b1 image-schema:none generalisable:no l1:russian
The book <b>consists of</b> 300 pages.	consist of	consist from	consist of	'Consist OF' is standard. Russian 'состоит из' (from) causes the error 'consist FROM'. Always use 'OF'.		module:10 sense:interference type:contrast frequency:high register:neutral cefr:b1 image-schema:none generalisable:no l1:russian
This style is <b>different from</b> that one.	different from	different of	different from	'Different FROM' is standard. Russian 'отличается от' might encourage 'from', which is correct. Never use 'of'.		module:10 sense:interference type:contrast frequency:high register:neutral cefr:b1 image-schema:none generalisable:no l1:russian
I go <b>to</b> school every day.	go to	go	go to	'Go TO' is obligatory. Russian omits destination preposition, causing the error 'go' (incomplete). English always requires a destination preposition.		module:10 sense:interference type:contrast frequency:high register:neutral cefr:a1 image-schema:none generalisable:no l1:russian
He arrived <b>in</b> Beijing yesterday.	arrive in	arrive	arrive in	'Arrive IN' (or 'at' for small places) is obligatory. Mandarin learners often omit the preposition. English requires 'in' or 'at'.		module:10 sense:interference type:contrast frequency:high register:neutral cefr:b1 image-schema:none generalisable:no l1:mandarin
I'll meet you <b>on</b> Monday.	on Monday	Monday	on Monday	Days require 'ON'. Mandarin learners omit the preposition. English always requires 'on' before weekdays.		module:10 sense:interference type:contrast frequency:high register:neutral cefr:a1 image-schema:none generalisable:no l1:mandarin
This happened <b>in</b> 2024.	in 2024	2024	in 2024	Years take 'IN'. Mandarin learners omit the preposition. English always requires 'in' for years.		module:10 sense:interference type:contrast frequency:high register:neutral cefr:b1 image-schema:none generalisable:no l1:mandarin
She <b>got on</b> the bus.	get on	get up	get on	'Get ON' is correct for boarding vehicles. Japanese vertical particles might cause the error 'get up'. Always use 'on/off' for vehicles.		module:10 sense:interference type:contrast frequency:high register:neutral cefr:b1 image-schema:none generalisable:no l1:japanese
He works <b>on</b> Tuesday.	on Tuesday	Tuesday	on Tuesday	Days require 'ON'. Japanese learners omit the preposition. English always requires 'on' before weekdays.		module:10 sense:interference type:contrast frequency:high register:neutral cefr:a1 image-schema:none generalisable:no l1:japanese
I'm <b>interested in</b> that topic.	interested in	interested on	interested in	'Interested IN' is standard for topics. Never 'on'. Always use 'in' for interest.		module:10 sense:interference type:contrast frequency:high register:neutral cefr:b1 image-schema:none generalisable:no l1:mandarin
The coffee is <b>in</b> the cup.	in the cup	on the cup	in the cup	Containers use 'IN'. Never 'on'. Spatial prepositions follow English conventions, not L1 patterns.		module:10 sense:interference type:contrast frequency:high register:neutral cefr:a1 image-schema:none generalisable:no l1:german
We discussed <b>politics</b> yesterday.	discuss politics	discuss about politics	discuss politics	'Discuss' is transitive bare (no 'about'). Romance language learners often add 'about' (error). Never use 'about' with 'discuss'.		module:10 sense:interference type:contrast frequency:high register:neutral cefr:b1 image-schema:none generalisable:no l1:spanish
The cat is <b>in</b> the box. / The book is <b>on</b> the table.	in = container, on = support	in = support, on = container	in = container, on = support	'IN' marks spatial containment (inside boundaries). 'ON' marks support (resting on a surface). These are prototypical senses that extend to abstract and temporal domains.		module:11 sense:polysemy type:contrast frequency:high register:neutral cefr:a1 image-schema:none generalisable:no
He is <b>in</b> trouble. / The movie is <b>on</b> tonight.	in = state, on = event	in = event, on = state	in = state, on = event	'IN' extends to abstract states (in love, in danger). 'ON' extends to scheduled events or media (on television, on Friday = happening).		module:11 sense:polysemy type:contrast frequency:high register:neutral cefr:b1 image-schema:none generalisable:no
Meet me <b>at</b> the station. / The meeting is <b>at</b> 3 p.m.	at = precise point	at = extended area	at = precise point	'AT' marks a precise spatial location (the station is a focal point) and precise time (3 p.m. is a moment). Both use the same POINT image schema.		module:11 sense:polysemy type:contrast frequency:high register:neutral cefr:a1 image-schema:none generalisable:no
The journey is <b>by</b> train. / The house was built <b>by</b> the architect.	by = means, by = agent	by = agent, by = means	by = means, by = agent	'BY' marks the instrument or means of an action (travel by train) and the agent in passive voice (built by architects). Both follow a PATH schema (the means or agent is the pathway).		module:11 sense:polysemy type:contrast frequency:high register:neutral cefr:b1 image-schema:none generalisable:no
The river flows <b>through</b> the valley. / She learned <b>through</b> experience.	through = traversing a path	through = outside and beyond	through = traversing a path	'THROUGH' marks traversing from one side to another (spatial) and also processes/means (learning through experience). Both involve a PATH schema.		module:11 sense:polysemy type:contrast frequency:high register:neutral cefr:b1 image-schema:none generalisable:no
The cat is <b>under</b> the bed. / The rule is <b>under</b> review.	under = beneath, under = subject-to-action	under = above, under = completed	under = beneath, under = subject-to-action	'UNDER' marks location below (spatial prototype) and also states where something is subject to an action (under construction, under review). Both involve a containment or enclosure metaphor.		module:11 sense:polysemy type:contrast frequency:high register:neutral cefr:b1 image-schema:none generalisable:no
The bridge is <b>over</b> the river. / She is <b>over</b> her ex.	over = above, over = past/finished	over = below, over = current	over = above, over = past/finished	'OVER' marks location above and spanning (spatial prototype) and also completion or moving past a state (emotional/cognitive). Both involve moving past a boundary.		module:11 sense:polysemy type:contrast frequency:high register:neutral cefr:b1 image-schema:none generalisable:no
Talk <b>around</b> the issue. / She danced <b>around</b> the topic.	around = circling, around = avoiding	around = direct, around = confronting	around = circling, around = avoiding	'AROUND' marks circular movement (spatial) and metaphorical circling/avoidance (cognitive). Both involve encircling without direct engagement.		module:11 sense:polysemy type:contrast frequency:high register:neutral cefr:b1 image-schema:none generalisable:no
I'm <b>in</b> the office. / I'm <b>in</b> pain.	I'm in the office	I'm in pain	I'm in the office	'IN' prototypically means enclosed spatial containment (office). 'In pain' extends the CONTAINER metaphor to an abstract state (you are metaphorically contained within pain).		module:11 sense:polysemy type:contrast frequency:high register:neutral cefr:b1 image-schema:none generalisable:no
The picture is <b>on</b> the wall. / She is <b>on</b> the team.	The picture is on the wall	She is on the team	The picture is on the wall	'ON' prototypically means supported contact (picture on wall). 'On the team' extends SUPPORT to social inclusion (you are metaphorically supported by group membership).		module:11 sense:polysemy type:contrast frequency:high register:neutral cefr:b1 image-schema:none generalisable:no
I'll be there <b>at</b> noon. / I'm good <b>at</b> tennis.	I'll be there at noon	I'm good at tennis	I'll be there at noon	'AT' prototypically marks precise points (noon is a time-point). 'Good at tennis' extends POINT to focused expertise (sharp focus on a skill domain).		module:11 sense:polysemy type:contrast frequency:high register:neutral cefr:b1 image-schema:none generalisable:no
We traveled <b>by</b> car. / The song is <b>by</b> The Beatles.	We traveled by car	The song is by The Beatles	We traveled by car	'BY' prototypically marks the instrument or means (travel by car). 'Song by The Beatles' extends this to authorship (the artist is the agent/means of creation).		module:11 sense:polysemy type:contrast frequency:high register:neutral cefr:b1 image-schema:none generalisable:no
The path goes <b>through</b> the forest. / We found success <b>through</b> hard work.	The path goes through the forest	We found success through hard work	The path goes through the forest	'THROUGH' spatially marks traversing enclosed space (forest). 'Through hard work' extends the PATH metaphor to abstract processes and means.		module:11 sense:polysemy type:contrast frequency:high register:neutral cefr:b1 image-schema:none generalisable:no
The building is <b>under</b> the bridge. / The company is <b>under</b> new management.	The building is under the bridge	The company is under new management	The building is under the bridge	'UNDER' spatially marks location below (building beneath bridge). 'Under management' extends UNDER to metaphorical containment within a governance structure.		module:11 sense:polysemy type:contrast frequency:high register:neutral cefr:b1 image-schema:none generalisable:no
The arch is <b>over</b> the gate. / The crisis is <b>over</b>.	The arch is over the gate	The crisis is over	The arch is over the gate	'OVER' spatially marks location above and spanning (arch above gate). 'Crisis is over' extends OVER to completion (you have climbed over the peak and descended the other side).		module:11 sense:polysemy type:contrast frequency:high register:neutral cefr:b1 image-schema:none generalisable:no
She arrived {{c1::ø::no preposition}} last week. / She arrived in the last week.	last week (bare)	in the last week (with 'in')	last week (bare)	Bare time adverbials (last week, next year, this morning) take NO preposition. Adding 'in' is an error (very common from L1 speakers).		module:12 sense:zero type:contrast frequency:high register:neutral cefr:b1 image-schema:none generalisable:no
I saw her {{c1::ø::no preposition}} this morning. / I saw her in the morning.	this morning (bare)	in the morning (with 'in')	this morning (bare)	'This morning' is bare (today). 'In the morning' (generic time) takes 'in'. These are distinct patterns.		module:12 sense:zero type:contrast frequency:high register:neutral cefr:b1 image-schema:none generalisable:no
We {{c1::ø::no preposition}} discussed politics. / We discussed about politics.	discuss politics	discuss about politics	discuss politics	'Discuss' is transitive bare (no 'about'). Romance L1 learners often add 'about' in error.		module:12 sense:zero type:contrast frequency:high register:neutral cefr:b1 image-schema:none generalisable:no
Please {{c1::ø::no preposition}} enter the room. / Please enter into the room.	enter the room	enter into the room	enter the room	'Enter' is transitive bare (no 'into'). Spanish/French learners often add 'into' in error.		module:12 sense:zero type:contrast frequency:high register:neutral cefr:b1 image-schema:none generalisable:no
They {{c1::ø::no preposition}} approached the house. / They approached to the house.	approach the house	approach to the house	approach the house	'Approach' is transitive bare (no 'to'). Some L1 learners incorrectly add 'to'.		module:12 sense:zero type:contrast frequency:high register:neutral cefr:b1 image-schema:none generalisable:no
He {{c1::ø::no preposition}} resembles his father. / He resembles like his father.	resemble his father	resemble like his father	resemble his father	'Resemble' is transitive bare (no 'like'). L1 learners often incorrectly compare this to 'looks like'.		module:12 sense:zero type:contrast frequency:high register:neutral cefr:b1 image-schema:none generalisable:no
I {{c1::ø::no preposition}} play chess. / I play at chess.	play chess	play at chess	play chess	'Play' + game noun is bare. 'Play at' is archaic or dialectal. Modern English uses bare object.		module:12 sense:zero type:contrast frequency:high register:neutral cefr:a1 image-schema:none generalisable:no
See you {{c1::ø::no preposition}} Monday! (AmE informal) / See you on Monday! (standard)	See you Monday! (informal/AmE)	See you on Monday! (standard)	See you on Monday! (standard)	AmE casual speech allows bare weekdays (See you Monday!). Standard/formal English and BrE require 'on Monday'.		module:12 sense:zero type:contrast frequency:high register:neutral cefr:a1 image-schema:none generalisable:no
We {{c1::ø::no preposition}} went to church. / We went to the church.	go to church (bare)	go to the church (with article)	go to church (bare)	'Church' bare implies religious attendance. 'The church' (with article) refers to the building itself.		module:12 sense:zero type:contrast frequency:high register:neutral cefr:a1 image-schema:none generalisable:no
The prisoner is {{c1::ø::no preposition}} in prison. / The prisoner is in the prison.	in prison (bare)	in the prison (with article)	in prison (bare)	'In prison' (bare) = incarcerated (abstract/institutional). 'In the prison' (article) = physically inside the building.		module:12 sense:zero type:contrast frequency:high register:neutral cefr:b1 image-schema:none generalisable:no
I'll be back {{c1::ø::no preposition}} Thursday. (AmE informal) / I'll be back on Thursday. (standard)	I'll be back Thursday. (informal)	I'll be back on Thursday. (standard)	I'll be back on Thursday. (standard)	AmE informal: bare weekdays. Standard/formal and BrE: 'on Thursday'.		module:12 sense:zero type:contrast frequency:high register:neutral cefr:a1 image-schema:none generalisable:no
I {{c1::ø::no preposition}} play the piano. / I play piano.	play the piano (with article)	play piano (bare)	play the piano (with article)	Instruments require the article: 'play the piano', 'play the violin'. Games are bare: 'play chess', 'play tennis'.		module:12 sense:zero type:contrast frequency:high register:neutral cefr:a1 image-schema:none generalisable:no
The lamp hangs ___ the table.	above	over	above	above = pure vertical separation with no contact/coverage; over implies the object covers the area or moves across it.	above = pure height only	module:02 type:contrast sense:spatial frequency:high register:neutral cefr:b1 image-schema:over generalisable:yes contrast:above-vs-over
The aircraft flew ___ the mountains.	over	above	over	over implies traversing across the space (the plane covers the distance); above suggests only height without movement across.	over = motion across; above = static height	module:02 type:contrast sense:spatial frequency:high register:neutral cefr:b1 image-schema:over generalisable:yes contrast:above-vs-over
The painting hung ___ my desk.	above	over	above	above describes pure vertical positioning; over would imply the painting covers or is suspended with relational contact.	above = vertical only	module:02 type:contrast sense:spatial frequency:mid register:formal cefr:a2 image-schema:over generalisable:yes contrast:above-vs-over
The fish swam ___ the reef.	below	under	below	below = pure vertical separation; under implies the fish is covered by or enclosed within the reef structure.	below = depth only; under = covered	module:02 type:contrast sense:spatial frequency:high register:neutral cefr:b1 image-schema:under generalisable:yes contrast:below-vs-under
The submarine sits ___ the waves.	under	below	under	under implies submersion and enclosure within the water; below suggests only vertical distance.	under = enclosed; below = vertical distance	module:02 type:contrast sense:spatial frequency:mid register:neutral cefr:b1 image-schema:under generalisable:yes contrast:below-vs-under
